date,location_key,location_name,latitude,longitude,elevation_m,tavg,tmin,tmax,prcp,wspd,wpgt,pres,humidity,solar_radiation,flood_event,nasa_tavg,nasa_tmin,nasa_tmax,nasa_prcp,nasa_wspd,nasa_wpgt,nasa_pres
2000-02-17,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-6.06,-9.08,-2.09,0.0,1.24,2.5,70.91,67.36,12.58,0,-6.06,-9.08,-2.09,0.0,1.24,2.5,70.91
2000-02-18,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-6.9,-13.94,-0.5,0.24,1.41,3.2,70.97,54.03,14.0,0,-6.9,-13.94,-0.5,0.24,1.41,3.2,70.97
2000-02-18,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-1.21,-6.51,5.19,0.39,1.52,3.0,78.68,48.8,16.84,0,-1.21,-6.51,5.19,0.39,1.52,3.0,78.68
2000-02-19,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-6.54,-12.65,-0.79,0.06,0.95,2.15,71.07,51.08,14.47,0,-6.54,-12.65,-0.79,0.06,0.95,2.15,71.07
2000-02-19,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-0.76,-6.03,5.43,0.19,1.42,2.87,78.79,47.58,15.96,0,-0.76,-6.03,5.43,0.19,1.42,2.87,78.79
2000-02-20,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-6.17,-11.95,-0.1,0.41,1.37,2.91,71.07,44.47,15.74,0,-6.17,-11.95,-0.1,0.41,1.37,2.91,71.07
2000-02-20,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-0.62,-6.7,6.7,0.65,1.58,3.09,78.79,41.73,15.46,0,-0.62,-6.7,6.7,0.65,1.58,3.09,78.79
2000-02-21,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,-0.81,-4.94,4.68,0.55,1.37,2.79,78.93,44.34,16.61,0,-0.81,-4.94,4.68,0.55,1.37,2.79,78.93
2000-02-21,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-6.63,-11.14,-1.51,0.22,1.41,3.47,71.18,56.5,15.81,0,-6.63,-11.14,-1.51,0.22,1.41,3.47,71.18
2000-02-22,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,0.05,-5.06,5.67,0.0,1.31,2.53,79.09,45.13,17.68,0,0.05,-5.06,5.67,0.0,1.31,2.53,79.09
2000-02-22,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-6.01,-9.98,-1.87,0.0,1.18,2.71,71.36,61.86,16.04,0,-6.01,-9.98,-1.87,0.0,1.18,2.71,71.36
2000-02-23,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-5.23,-7.97,-1.57,0.04,1.14,2.42,71.46,62.1,15.99,0,-5.23,-7.97,-1.57,0.04,1.14,2.42,71.46
2000-02-23,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,0.92,-3.6,6.58,0.07,1.43,2.81,79.17,47.98,15.2,0,0.92,-3.6,6.58,0.07,1.43,2.81,79.17
2000-02-24,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,1.26,-6.16,9.69,0.0,1.48,2.85,79.15,38.71,19.32,0,1.26,-6.16,9.69,0.0,1.48,2.85,79.15
2000-02-24,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-4.53,-12.16,2.61,0.0,0.93,2.22,71.47,41.81,16.17,0,-4.53,-12.16,2.61,0.0,0.93,2.22,71.47
2000-02-25,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-3.51,-12.01,3.63,0.0,1.52,3.54,71.34,28.05,16.62,0,-3.51,-12.01,3.63,0.0,1.52,3.54,71.34
2000-02-25,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,2.7,-5.51,11.08,0.0,1.29,2.56,78.93,25.51,19.63,0,2.7,-5.51,11.08,0.0,1.29,2.56,78.93
2000-02-26,upper_dir,"Upper Dir District, Khyber Pakhtunkhwa",35.335,71.876,1420.0,-3.35,-10.64,4.3,0.0,1.68,3.84,71.21,31.92,17.87,0,-3.35,-10.64,4.3,0.0,1.68,3.84,71.21
2000-02-26,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980.0,2.92,-3.97,10.49,0.0,1.72,3.67,78.82,26.2,19.19,0,2.92,-3.97,10.49,0.0,1.72,3.67,78.82
